Time,Protocol,Flag,Family,Clusters,SeddAddress,ExpAddress,BTC,USD,Netflow Bytes,IP Address,Threat Level,Port,Prediction,Payload Size,Number of Packets,Application Layer Data,User-Agent,Geolocation,Logistics ID,Anomaly Score,Event Description,Response Time,Session ID,Data Transfer Rate,Error Code
2022-06-25 15:27:14,UDP,FIN,Normal,3,160.84.213.77,32.249.232.174,0.65,485.98,2351,71.217.17.113,Benign,443,No Attack,169,5,GET /status,Mozilla/5.0,Airport DEF,LGT98818,0.1,Connection Attempt,276 ms,SESS1635,2.61 Mbps,403
2023-11-25 06:31:11,UDP,SYN,Normal,2,49.156.26.103,189.4.42.24,0.13,805.71,7268,72.232.25.1,Benign,21,No Attack,665,1,POST /upload,Mozilla/5.0,Airport DEF,LGT24591,0.09,Connection Attempt,435 ms,SESS2142,1.89 Mbps,200
2023-09-10 23:58:40,UDP,ACK,Normal,2,123.239.195.30,129.31.125.171,0.85,487.17,1418,166.225.110.80,Benign,80,No Attack,706,8,POST /upload,Mozilla/5.0,Airport DEF,LGT29414,0.03,File Upload,106 ms,SESS2794,3.32 Mbps,200
2021-11-06 14:50:17,UDP,ACK,Normal,5,138.249.125.144,180.10.227.228,0.01,368.87,9486,126.17.78.231,Benign,21,No Attack,1067,10,GET /status,Mozilla/5.0,Airport XYZ,LGT95437,0.01,Connection Attempt,93 ms,SESS8905,6.39 Mbps,200
2023-08-22 08:42:04,TCP,SYN,Normal,5,14.249.225.22,98.118.94.201,0.5,661.63,7507,133.79.2.108,Benign,21,No Attack,117,5,POST /upload,Mozilla/5.0,Airport DEF,LGT14659,0.06,Data Query,436 ms,SESS9998,4.81 Mbps,404
2021-09-13 06:51:20,UDP,SYN,Normal,2,117.58.37.104,186.209.198.183,0.2,798.12,11943,22.158.184.110,Benign,80,No Attack,1471,1,QUERY /info,Mozilla/5.0,Airport DEF,LGT34582,0.1,File Upload,213 ms,SESS4441,6.32 Mbps,404
2021-10-23 12:29:31,UDP,ACK,Normal,5,93.79.28.108,17.64.91.153,0.92,109.04,781,146.12.47.84,Benign,443,No Attack,868,8,QUERY /info,Mozilla/5.0,Airport ABC,LGT94205,0.09,Connection Attempt,367 ms,SESS8389,5.32 Mbps,200
2021-08-13 21:39:02,TCP,ACK,Normal,3,31.35.178.118,157.43.12.104,0.46,658.5,162,142.135.237.176,Benign,80,No Attack,754,4,QUERY /info,Mozilla/5.0,Airport DEF,LGT94308,0.04,Connection Attempt,309 ms,SESS6004,3.79 Mbps,403
2021-09-23 15:04:39,UDP,FIN,Normal,2,69.179.190.16,167.84.112.63,0.73,935.59,4576,154.244.26.70,Benign,53,No Attack,806,2,QUERY /info,Mozilla/5.0,Airport ABC,LGT15910,0.05,Connection Attempt,146 ms,SESS9439,8.56 Mbps,403
2021-02-10 12:33:47,UDP,SYN,Normal,1,15.205.186.128,97.180.29.47,0.42,439.21,11828,79.86.59.248,Benign,80,No Attack,1162,4,QUERY /info,Mozilla/5.0,Airport XYZ,LGT71548,0.08,Data Query,590 ms,SESS1386,2.61 Mbps,200
